Title,Subtitle,DateTime
SPEAKER'S RULINGS,Ministerial Responsibility—Clarification,2023-03-09 14:01:21
POINTS OF ORDER,House Bells—Failure to Ring,2023-03-09 14:03:22
URGENT DEBATES DECLINED,Public Sector Leaders—Code of Conduct for Crown Entity Board Members,2023-03-09 14:52:25
NEW ZEALAND SUPERANNUATION AND RETIREMENT INCOME (CONTROLLING INTERESTS) AMENDMENT BILL,First Reading,2023-03-09 14:53:10
FORESTS (LEGAL HARVEST ASSURANCE) AMENDMENT BILL,Second Reading,2023-03-09 16:12:34
FAMILY COURT (FAMILY COURT ASSOCIATES) LEGISLATION BILL,Second Reading,2023-03-09 16:47:29
VISITORS,"Norway—Norwegian Parliament Committee on Education and Research, Delegation",2023-03-08 14:00:57
PARLIAMENTARY SERVICE COMMISSION,Membership,2023-03-08 19:25:22
"TAXATION (ANNUAL RATES FOR 2022-23, PLATFORM ECONOMY, AND REMEDIAL MATTERS) BILL (NO 2)",Second Reading,2023-03-08 19:28:34
MĀORI FISHERIES AMENDMENT BILL,First Reading,2023-03-08 21:09:00
FIRE AND EMERGENCY NEW ZEALAND (LEVY) AMENDMENT BILL,Second Reading,2023-03-08 21:22:51
CIVIL AVIATION BILL,Second Reading,2023-03-08 21:40:04
FORESTS (LEGAL HARVEST ASSURANCE) AMENDMENT BILL,Second Reading,2023-03-08 21:44:29
OBITUARIES,Georgina Beyer MNZM,2023-03-07 14:01:09
ROTORUA DISTRICT COUNCIL (REPRESENTATION ARRANGEMENTS) BILL,Discharge,2023-03-07 14:05:39
AMENDED ANSWERS TO ORAL QUESTIONS,"Question No. 5 to Minister, 22 February",2023-03-07 14:08:41
CRIMINAL PROCEEDS (RECOVERY) AMENDMENT BILL,Second Reading,2023-03-07 19:00:35
CRIMINAL ACTIVITY INTERVENTION LEGISLATION BILL,Second Reading,2023-03-07 20:07:02
MĀORI FISHERIES AMENDMENT BILL,First Reading,2023-03-07 21:07:45
MOTIONS,Instruction to Committee—Leave Declined,2023-02-23 14:01:48
RETURNING OFFENDERS (MANAGEMENT AND INFORMATION) AMENDMENT BILL,In Committee,2023-02-23 09:00:21
VISITORS,Germany—Bundestag,2023-02-22 14:00:57
